deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,0,1500,36000,26000,0,778,0,0,0,0,18000.0,0,0.0,FLOODS,1976-07-20,1976-07-25,1976-07-25
0,0,0,0,690,5255,0,0,0,0,0,0,0,21800.0,0,0.0,FLOODS,1976-07-26,1976-07-31,1976-07-31
0,1,0,0,1025,4050,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1976-08-06,1976-08-11,1976-08-11
21,0,0,109,0,86000,4000,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1976-08-13,1976-08-18,1976-08-18
4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1976-09-10,1976-09-15,1976-09-15
0,0,0,0,2158,8352,0,0,5000,0,0,0,0,650.0,0,0.0,FLOODS,1976-10-11,1976-10-16,1976-10-16
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1976-12-21,1976-12-26,1976-12-26
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1977-01-07,1977-01-12,1977-01-12
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1977-04-14,1977-04-19,1977-04-19
0,0,0,0,0,0,2500,0,0,0,0,1,0,0.0,0,0.0,FLOODS,1977-06-05,1977-06-10,1977-06-10
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1977-06-13,1977-06-18,1977-06-18
10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1977-07-08,1977-07-13,1977-07-13
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1977-07-17,1977-07-22,1977-07-22
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1977-07-23,1977-07-28,1977-07-28
0,0,1,13,730,2875,0,0,0,0,0,0,0,500.0,0,0.0,FLOODS,1977-08-17,1977-08-22,1977-08-22
21,0,0,1111,12317,4000,0,0,40000,0,0,0,0,0.0,0,0.0,FLOODS,1977-09-02,1977-09-07,1977-09-07
0,0,0,0,20,70,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1977-10-28,1977-11-02,1977-11-02
0,0,0,129,1000,500,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1977-11-22,1977-11-27,1977-11-27
0,0,0,0,100,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1978-01-12,1978-01-17,1978-01-17
36,0,0,200,0,0,0,0,1400,0,0,0,0,0.0,0,0.0,FLOODS,1978-01-18,1978-01-23,1978-01-23
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3000.0,FLOODS,1978-02-01,1978-02-06,1978-02-06
0,0,0,0,0,0,0,0,0,0,60000,0,0,11200.0,0,0.0,FLOODS,1978-02-15,1978-02-20,1978-02-20
